Group,KCl,Time
Syt-7,25,1.333333
Syt-7,25,1.333333
Syt-7,25,1.5
Syt-7,25,1.5
Syt-7,25,1.5
Syt-7,25,1.5
Syt-7,25,1.833333
Syt-7,25,1.833333
Syt-7,25,2
Syt-7,25,2
Syt-7,25,2
Syt-7,25,2
Syt-7,25,2.166667
Syt-7,25,2.333333
Syt-7,25,2.5
Syt-7,25,2.5
Syt-7,25,2.833333
Syt-7,25,2.833333
Syt-7,25,3
Syt-7,25,3.166667
Syt-7,25,3.166667
Syt-7,25,3.333333
Syt-7,25,3.666667
Syt-7,25,4
Syt-7,25,4
Syt-7,25,4.166667
Syt-7,25,5.333333
Syt-7,25,5.666667
Syt-7,25,5.666667
Syt-7,25,5.666667
Syt-7,25,5.833333
Syt-7,25,5.833333
Syt-7,25,5.833333
Syt-7,25,5.833333
Syt-7,25,6
Syt-7,25,6
Syt-7,25,6
Syt-7,25,6.166667
Syt-7,25,6.166667
Syt-7,25,6.333333
Syt-7,25,6.333333
Syt-7,25,6.333333
Syt-7,25,6.333333
Syt-7,25,6.5
Syt-7,25,6.5
Syt-7,25,6.5
Syt-7,25,6.5
Syt-7,25,6.5
Syt-7,25,6.5
Syt-7,25,6.5
Syt-7,25,6.666667
Syt-7,25,6.666667
Syt-7,25,6.666667
Syt-7,25,7
Syt-7,25,7.166667
Syt-7,25,7.5
Syt-7,25,7.833333
Syt-7,25,8
Syt-7,25,8.166667
Syt-7,25,8.333333
Syt-7,25,8.333333
Syt-7,25,8.333333
Syt-7,25,8.5
Syt-7,25,8.666667
Syt-7,25,8.666667
Syt-7,25,8.833333
Syt-7,25,9
Syt-7,25,9
Syt-7,25,9
Syt-7,25,9.166667
Syt-7,25,9.333333
Syt-7,25,9.5
Syt-7,25,9.5
Syt-7,25,9.5
Syt-7,25,9.666667
Syt-7,25,9.666667
Syt-7,25,9.666667
Syt-7,25,9.833333
Syt-7,25,9.833333
Syt-7,25,9.833333
Syt-7,25,9.833333
Syt-7,25,10
Syt-7,25,10
Syt-7,25,10.16667
Syt-7,25,10.16667
Syt-7,25,10.16667
Syt-7,25,10.33333
Syt-7,25,10.5
Syt-7,25,10.5
Syt-7,25,10.66667
Syt-7,25,10.66667
Syt-7,25,10.66667
Syt-7,25,10.66667
Syt-7,25,10.83333
Syt-7,25,10.83333
Syt-7,25,11
Syt-7,25,11
Syt-7,25,11
Syt-7,25,11
Syt-7,25,11
Syt-7,25,11
Syt-7,25,11.16667
Syt-7,25,11.16667
Syt-7,25,11.16667
Syt-7,25,11.16667
Syt-7,25,11.33333
Syt-7,25,11.33333
Syt-7,25,11.33333
Syt-7,25,11.5
Syt-7,25,11.5
Syt-7,25,11.5
Syt-7,25,11.5
Syt-7,25,11.5
Syt-7,25,11.5
Syt-7,25,11.5
Syt-7,25,11.66667
Syt-7,25,11.66667
Syt-7,25,11.66667
Syt-7,25,11.83333
Syt-7,25,11.83333
Syt-7,25,11.83333
Syt-7,25,12
Syt-7,25,12
Syt-7,25,12
Syt-7,25,12
Syt-7,25,12
Syt-7,25,12.16667
Syt-7,25,12.16667
Syt-7,25,12.16667
Syt-7,25,12.16667
Syt-7,25,12.33333
Syt-7,25,12.33333
Syt-7,25,12.33333
Syt-7,25,12.33333
Syt-7,25,12.33333
Syt-7,25,12.33333
Syt-7,25,12.5
Syt-7,25,12.5
Syt-7,25,12.66667
Syt-7,25,12.83333
Syt-7,25,12.83333
Syt-7,25,12.83333
Syt-7,25,12.83333
Syt-7,25,13
Syt-7,25,13
Syt-7,25,13
Syt-7,25,13.16667
Syt-7,25,13.16667
Syt-7,25,13.33333
Syt-7,25,13.5
Syt-7,25,13.5
Syt-7,25,13.5
Syt-7,25,13.5
Syt-7,25,13.5
Syt-7,25,13.66667
Syt-7,25,13.66667
Syt-7,25,13.66667
Syt-7,25,13.83333
Syt-7,25,13.83333
Syt-7,25,13.83333
Syt-7,25,14
Syt-7,25,14
Syt-7,25,14.16667
Syt-7,25,14.16667
Syt-7,25,14.33333
Syt-7,25,14.33333
Syt-7,25,14.33333
Syt-7,25,14.5
Syt-7,25,14.5
Syt-7,25,14.5
Syt-7,25,14.5
Syt-7,25,14.66667
Syt-7,25,14.66667
Syt-7,25,14.66667
Syt-7,25,14.83333
Syt-7,25,14.83333
Syt-7,25,14.83333
Syt-7,25,15
Syt-7,25,16.33333
Syt-7,25,16.33333
Syt-7,25,17
Syt-7,25,17.83333
Syt-7,25,18
Syt-7,25,18.16667
Syt-7,25,18.16667
Syt-7,25,18.16667
Syt-7,25,18.5
Syt-7,25,18.66667
Syt-7,25,18.66667
Syt-7,25,18.83333
Syt-7,25,19
Syt-7,25,19.16667
Syt-7,25,19.66667
Syt-7,25,20
Syt-7,25,20.83333
Syt-7,25,20.83333
Syt-7,25,21.33333
Syt-7,25,21.83333
Syt-7,25,22
Syt-7,25,22
Syt-7,25,22.66667
Syt-7,25,23
Syt-7,25,23.16667
Syt-7,25,23.16667
Syt-7,25,25
Syt-7,25,25
Syt-7,25,25
