Group,Conc,Latency
Syt-1,30,14
Syt-1,30,14
Syt-1,30,14
Syt-1,30,14
Syt-1,30,14.16667
Syt-1,30,14.16667
Syt-1,30,14.16667
Syt-1,30,14.33333
Syt-1,30,14.33333
Syt-1,30,14.33333
Syt-1,30,14.33333
Syt-1,30,14.5
Syt-1,30,14.5
Syt-1,30,14.5
Syt-1,30,14.5
Syt-1,30,14.66667
Syt-1,30,14.66667
Syt-1,30,14.66667
Syt-1,30,14.66667
Syt-1,30,14.83333
Syt-1,30,14.83333
Syt-1,30,15
Syt-1,30,15
Syt-1,30,15
Syt-1,30,15.16667
Syt-1,30,15.16667
Syt-1,30,15.16667
Syt-1,30,15.33333
Syt-1,30,15.5
Syt-1,30,15.66667
Syt-1,30,15.83333
Syt-1,30,15.83333
Syt-1,30,16
Syt-1,30,16.33333
Syt-1,30,16.5
Syt-1,30,16.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.66667
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19.16667
Syt-1,30,20
Syt-1,30,21.16667
Syt-1,30,21.66667
Syt-1,30,22.5
Syt-1,30,23.5
Syt-1,30,37.5
Syt-1,30,46.5
Syt-1,30,11.33333
Syt-1,30,11.66667
Syt-1,30,11.66667
Syt-1,30,11.83333
Syt-1,30,11.83333
Syt-1,30,12.33333
Syt-1,30,12.66667
Syt-1,30,12.83333
Syt-1,30,13.33333
Syt-1,30,13.66667
Syt-1,30,15.83333
Syt-1,30,16.16667
Syt-1,30,16.83333
Syt-1,30,16.83333
Syt-1,30,16.83333
Syt-1,30,16.83333
Syt-1,30,16.83333
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.66667
Syt-1,30,18.66667
Syt-1,30,18.83333
